t_rel,state_stamp,x,y,z,vx,vy,vz
8.343753,1783596161.238804,2.720824,3.127812,0.703695,3.156121,2.254171,-1.382985
8.363757,1783596161.261676,2.780059,3.167226,0.676571,3.144808,2.185541,-1.364812
8.383728,1783596161.278709,2.842164,3.207566,0.648832,3.135582,2.107452,-1.339669
8.403858,1783596161.303509,2.904822,3.245618,0.620680,3.129770,2.016140,-1.319283
8.423833,1783596161.324888,2.967005,3.281764,0.593148,3.138744,1.931928,-1.306095
8.443800,1783596161.339595,2.998755,3.299582,0.579276,3.145850,1.889884,-1.300160
8.463712,1783596161.360855,3.064937,3.335635,0.551074,3.153535,1.798580,-1.282125
8.483809,1783596161.378939,3.126002,3.366930,0.525797,3.141510,1.700179,-1.253936
8.503725,1783596161.400040,3.185109,3.394684,0.501665,3.109638,1.591726,-1.222414
8.523723,1783596161.421701,3.221697,3.409514,0.486456,3.071845,1.508904,-1.200889
8.543720,1783596161.439547,3.284759,3.436785,0.460855,3.033985,1.410468,-1.179423
8.563868,1783596161.458917,3.319929,3.449749,0.445664,3.022401,1.358694,-1.185517
8.583756,1783596161.482839,3.393929,3.478217,0.414578,2.996284,1.272671,-1.196555
8.603721,1783596161.502217,3.433076,3.491949,0.397832,2.981327,1.227279,-1.206780
8.623734,1783596161.525995,3.530303,3.525829,0.356543,2.906163,1.116198,-1.209615
8.643929,1783596161.539085,3.560975,3.535056,0.343411,2.875000,1.074086,-1.207059
8.663811,1783596161.559891,3.624458,3.553277,0.316088,2.804484,0.987855,-1.200195
8.683742,1783596161.585038,3.659571,3.559399,0.300908,2.780213,0.927633,-1.203976
8.703773,1783596161.605937,3.719014,3.573562,0.275020,2.712687,0.846843,-1.199876
8.723720,1783596161.617947,3.755463,3.581600,0.259196,2.656731,0.793506,-1.189278
8.743714,1783596161.643168,3.814712,3.592106,0.233171,2.574463,0.706502,-1.178374
8.763750,1783596161.658953,3.845014,3.597185,0.219623,2.529249,0.665500,-1.173071
8.783777,1783596161.679012,3.899014,3.603897,0.195494,2.442461,0.588828,-1.159042
8.803728,1783596161.700061,3.954801,3.608587,0.170171,2.351449,0.514254,-1.147806
8.823728,1783596161.717761,3.982044,3.609557,0.157655,2.315042,0.479593,-1.148131
